Age,seroprevalence,lower_bound,upper_bound
1,0,0,0.192192443
2,0,0,0.289619111
3,0,0,0.412849878
4,0.038114531,0,0.566697675
5,0.110660329,0,0.75628686
6,0.213101355,0,0.986930019
7,0.354405208,0.047769144,1.263994547
8,0.544706214,0.14165375,1.592788208
9,0.794793541,0.280717151,1.978508293
10,1.115294499,0.479135439,2.426313321
11,1.515556149,0.751215604,2.941577705
12,2.002289246,1.10871275,3.530345001
13,2.578109313,1.557187078,4.199828298
14,3.240173928,2.092203954,4.958402398
15,3.979151602,2.697119584,5.813915675
16,4.778747099,3.344618952,6.768995555
17,5.615942633,4.002536985,7.813732299
18,6.462003889,4.640969671,8.919428048
19,7.284171011,5.236378535,10.03790256
20,8.047842493,5.771591832,11.10703652
21,8.718993647,6.233885002,12.05947004
22,9.266563171,6.613268387,12.83125027
23,9.664583151,6.901607173,13.36887529
24,9.893896779,7.09233809,13.63439106
25,9.943377939,7.180414493,13.6086889
26,9.810618243,7.162216216,13.29326906
27,9.502073548,7.035262171,12.71068149
28,9.032669423,6.797643103,11.90370711
29,8.424867938,6.447266744,10.93310071
30,7.707212918,5.981608607,9.873169381
31,7.005404241,5.469114325,8.927006427
32,6.411701676,4.987626875,8.201180606
33,5.910231311,4.549120628,7.638937249
34,5.487821029,4.161761046,7.196363961
35,5.133596091,3.828514927,6.842132482
36,4.838629069,3.548308407,6.554930727
37,4.595643639,3.317825193,6.320507577
38,4.398768707,3.13292948,6.129327705
39,4.243337983,2.989538001,5.974981435
40,4.125729969,2.884075046,5.853183845
41,4.043243631,2.813672442,5.761172758
42,3.994005759,2.776228472,5.697368786
43,3.976906833,2.770390572,5.661215837
44,3.991563088,2.795490535,5.653162533
45,4.038303417,2.851434959,5.674776787
46,4.118180595,2.938532268,5.729012713
47,4.233007267,3.057218296,5.820674053
48,4.385418004,3.20762969,5.957136782
49,4.578959652,3.388989898,6.149383971
50,4.818213089,3.598866813,6.413317642
51,5.07257194,3.806639001,6.720733059
52,5.305122764,3.985886475,7.019973521
53,5.512056023,4.139602849,7.295934914
54,5.689911022,4.270929336,7.53437136
55,5.835664059,4.38247323,7.723094615
56,5.946805436,4.475997112,7.85273092
57,6.021403246,4.552286727,7.917205545
58,6.058152346,4.611046222,7.914091149
59,6.056407361,4.650722026,7.844909146
60,6.016198971,4.668193997,7.715440842
61,5.938233138,4.658321202,7.536060517
62,5.823873288,4.613470265,7.321966412
63,5.675105823,4.523522816,7.092821898
64,5.494489758,4.37744356,6.87074012
65,5.285091662,4.167400026,6.675642703
66,5.075589803,3.926502559,6.530824804
67,4.890915666,3.702563132,6.426378801
68,4.729070908,3.506907453,6.338663521
69,4.588327522,3.343187767,6.255098037
70,4.467201782,3.211083956,6.169937833
71,4.364431805,3.108346652,6.08183533
72,4.278958421,3.031687065,5.992660865
73,4.209909118,2.976993886,5.907089578
74,4.156584811,2.939165564,5.832657004
75,4.118449262,2.911770988,5.780066608
76,4.095120961,2.886824541,5.763464726
77,4.086367361,2.855120689,5.800244231
78,4.092101366,2.807550087,5.90996643
79,4.11238002,2.737210603,6.112604202
80,4.147405359,2.641167778,6.427272568
81,4.19752747,2.520669854,6.87266506
82,4.263249781,2.379884016,7.469152097
83,4.345236672,2.224227951,8.241482296
84,4.444323536,2.059142778,9.221234431
85,4.561529444,1.889472782,10.44880306
86,4.69807259,1.719263343,11.97496941
87,4.855388763,1.551765813,13.86198373
88,5.035153072,1.389519476,16.18376903
89,5.239305224,1.234450081,19.02445082
90,5.470078631,1.087962488,22.47397476
91,5.730033648,0.951021737,26.61922529